Company Name,Stock Name,Filing Time,New Product,Product Description
Microsoft Corporation,MSFT,7/30/2024,Microsoft 365,"['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Microsoft Corporation,MSFT,7/30/2024,Dynamics 365,"['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Microsoft Corporation,MSFT,7/30/2024,Microsoft Edge,"['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Microsoft Corporation,MSFT,7/30/2024,"Cloud, AI, Edge, IoT","['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Microsoft Corporation,MSFT,7/30/2024,AI Products,"['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Microsoft Corporation,MSFT,7/30/2024,Power Platform,"['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Microsoft Corporation,MSFT,7/30/2024,Personal Computing,"['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Microsoft Corporation,MSFT,7/30/2024,IoT Integration,"['Productivity and Business Processes', 'Intelligent Cloud and Edge Platform', 'Personal Computing', 'The Future of Productivity and Business Processes: Reimagined with AI and Edge Integration', 'Microsoft 365', ', ', 'Dynamics 365', ', ', 'Copilot', ', and ', 'Viva']"
Apple Inc.,AAPL,11/1/2024,Custom Components,['No products found']
Apple Inc.,AAPL,11/1/2024,Innovation in Tech Areas,['No products found']
Apple Inc.,AAPL,11/1/2024,Competition Challenges,['No products found']
Apple Inc.,AAPL,11/1/2024,Product Features and Applications,['No products found']
Apple Inc.,AAPL,11/1/2024,New Technologies,['No products found']
Apple Inc.,AAPL,11/1/2024,Custom Components,['No products found']
Apple Inc.,AAPL,11/1/2024,"Innovation in Tech Areas (Smartphones, Tablets, Wearables)",['No products found']
Apple Inc.,AAPL,11/1/2024,Product Features and Applications Innovation,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,NVIDIA GPU,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,CUDA Programming Model,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,AlexNet Neural Network,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,Tensor Core GPUs,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,Autonomous Driving SoCs,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,Data Center CPU - Grace,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,cAI Frameworks,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,NVIDIA AI Enterprise Software (V100),['No products found']
NVIDIA Corporation,NVDA,2/26/2025,NVIDIA Compute Technology,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,AI Assistant Applications,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,NVIDIA Chatbot for Enterprises,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,AI Foundation Models,['No products found']
NVIDIA Corporation,NVDA,2/26/2025,NVIDIA Accelerated Computing Platforms,['No products found']
"Meta Platforms, Inc.",META,1/30/2025,Facebook,['No products found']
"Meta Platforms, Inc.",META,1/30/2025,Instagram,['No products found']
"Meta Platforms, Inc.",META,1/30/2025,Messenger,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,Company Structure,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,Sectors of Operation,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,"Utilities, Energy, Travel, etc.",['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,Insurance Products,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,Funding and Reporting,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,Geographic Focus,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,Functional Areas,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025, GAAP Focus,['No products found']
BERKSHIRE HATHAWAY INC,BRK-B,2/24/2025,Company Sizes,['No products found']
Broadcom Inc.,AVGO,12/20/2024,Innovations,['No products found']
Broadcom Inc.,AVGO,12/20/2024,Products,['No products found']
Broadcom Inc.,AVGO,12/20/2024,Infrastructure Software Solutions,['No products found']
Broadcom Inc.,AVGO,12/20/2024,Acquisition,['No products found']
THE WALT DISNEY COMPANY,DIS,11/14/2024,direct-to-consumer platforms,['No products found']
THE WALT DISNEY COMPANY,DIS,11/14/2024,", ",['No products found']
THE WALT DISNEY COMPANY,DIS,11/14/2024,refreshing models for entertainment,['No products found']
THE WALT DISNEY COMPANY,DIS,11/14/2024,", ",['No products found']
THE WALT DISNEY COMPANY,DIS,11/14/2024,new content delivery technologies,['No products found']
THE WALT DISNEY COMPANY,DIS,11/14/2024,", and ",['No products found']
THE WALT DISNEY COMPANY,DIS,11/14/2024,strategic initiatives,['No products found']
"EQUINIX, INC.",EQIX,2/12/2025,Equinix,['No products found']
"EQUINIX, INC.",EQIX,2/12/2025,Platform Equinix®,['No products found']
"EQUINIX, INC.",EQIX,2/12/2025,Data Center Expanders for 2025+,['No products found']
"EQUINIX, INC.",EQIX,2/12/2025,Advanced Infrastructure Solutions,['No products found']
Roblox Corporation,RBLX,2/18/2025,Roblox Everywhere,"['Roblox Everywhere', ', enabling seamless interaction on iOS, Android, PC, etc., and supporting VR experiences across multiple devices. The ', 'Platform for Everyone', ' will expand global reach by targeting all demographics and engaging users through diverse content. International expansion will leverage user growth in major markets while investing in translation, regional compliance, and personalization features. The ', 'Vibrant Economy']"
Roblox Corporation,RBLX,2/18/2025,Platform for Everyone,"['Roblox Everywhere', ', enabling seamless interaction on iOS, Android, PC, etc., and supporting VR experiences across multiple devices. The ', 'Platform for Everyone', ' will expand global reach by targeting all demographics and engaging users through diverse content. International expansion will leverage user growth in major markets while investing in translation, regional compliance, and personalization features. The ', 'Vibrant Economy']"
Roblox Corporation,RBLX,2/18/2025,International Expansion,"['Roblox Everywhere', ', enabling seamless interaction on iOS, Android, PC, etc., and supporting VR experiences across multiple devices. The ', 'Platform for Everyone', ' will expand global reach by targeting all demographics and engaging users through diverse content. International expansion will leverage user growth in major markets while investing in translation, regional compliance, and personalization features. The ', 'Vibrant Economy']"
Roblox Corporation,RBLX,2/18/2025,Vibrant Economy,"['Roblox Everywhere', ', enabling seamless interaction on iOS, Android, PC, etc., and supporting VR experiences across multiple devices. The ', 'Platform for Everyone', ' will expand global reach by targeting all demographics and engaging users through diverse content. International expansion will leverage user growth in major markets while investing in translation, regional compliance, and personalization features. The ', 'Vibrant Economy']"
GoDaddy Inc.,GDDY,2/20/2025,GoDaddy Guide Program,['No products found']
GoDaddy Inc.,GDDY,2/20/2025,AI Tools for Productivity Support,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,DesignatedMember,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,NondesignatedMember2024-01-012024-12-310001818874sofi:DesignedToManage Future Loan Sale Execution Risk Members,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,NondesignatedMember2023-01-012023-12-310001818874sofi: DesignedToManage Future Loan SaleExecutionRiskMembers,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,NondesignatedMember2022-01-012022-12-310001818874sofi:DesignedToManage Future Loan Sale Execution Risk Members,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,NondesignatedMember2022-01-012022-12-310001818874sofi: DesignedToManage Future Loan SaleExecutionRiskMembers,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,Loans Management,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,Derivative Instruments,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,Financial Products,['No products found']
"SoFi Technologies, Inc.",SOFI,2/24/2025,Specific member IDs,['No products found']
Mastercard Incorporated,MA,2/12/2025,Mastercard,['No products found']
Mastercard Incorporated,MA,2/12/2025,Mastercard 2024,['No products found']
Mastercard Incorporated,MA,2/12/2025,Mastercard Move,['No products found']
Mastercard Incorporated,MA,2/12/2025,Strategic Priorities,['No products found']
Mastercard Incorporated,MA,2/12/2025,Mastercard 2024,['No products found']
Mastercard Incorporated,MA,2/12/2025, and ,['No products found']
Mastercard Incorporated,MA,2/12/2025,Mastercard Move,['No products found']
"Salesforce, Inc.",CRM,3/5/2025,Sustainable Technology Solutions,['No products found']
"Salesforce, Inc.",CRM,3/5/2025,Socially Responsible AI (Heritageoid),['No products found']
"Salesforce, Inc.",CRM,3/5/2025,Trust and Security-Driven Businesses,['No products found']
"Salesforce, Inc.",CRM,3/5/2025,Equal Opportunities in Technology,['No products found']
"Salesforce, Inc.",CRM,3/5/2025,Corporate Social Responsibility (CSR) Initiatives,['No products found']
"Salesforce, Inc.",CRM,3/5/2025,Empowering Businesses,['No products found']
"CISCO SYSTEMS, INC.",CSCO,9/5/2024,Hardware/Software/Subscription Combination,['No products found']
"CISCO SYSTEMS, INC.",CSCO,9/5/2024,Actionable Insights,['No products found']
"CISCO SYSTEMS, INC.",CSCO,9/5/2024,Modernization of Infrastructure,['No products found']
"CISCO SYSTEMS, INC.",CSCO,9/5/2024,Unified Management Platform Experience,['No products found']
"CISCO SYSTEMS, INC.",CSCO,9/5/2024,Multicloud Architectures,['No products found']
"CISCO SYSTEMS, INC.",CSCO,9/5/2024,Smart Buildings,['No products found']
"CISCO SYSTEMS, INC.",CSCO,9/5/2024,AI/Data Integration,['No products found']
Palantir Technologies Inc.,PLTR,2/18/2025,Foundry,['No products found']
Palantir Technologies Inc.,PLTR,2/18/2025,Apollo,['No products found']
Palantir Technologies Inc.,PLTR,2/18/2025,AIPAIP (AIPAA),['No products found']
Booking Holdings Inc.,BKNG,2/20/2025,Mobile Apps,['No products found']
Booking Holdings Inc.,BKNG,2/20/2025,Gen AI,['No products found']
Booking Holdings Inc.,BKNG,2/20/2025,Personalized Services,['No products found']
Booking Holdings Inc.,BKNG,2/20/2025,Loyalty Programs,['No products found']
Booking Holdings Inc.,BKNG,2/20/2025,Collaboration with Partners,['No products found']
"WYNN RESORTS, LIMITED",WYNN,2/13/2025,Solar Technology,"['Innovation', 'CRS Commitment', 'Energy and Sustainability', 'Leadership and Development', 'Community Support', 'Guest Experiences', 'Professional Development']"
"WYNN RESORTS, LIMITED",WYNN,2/13/2025,Community-Driven Initiatives,"['Innovation', 'CRS Commitment', 'Energy and Sustainability', 'Leadership and Development', 'Community Support', 'Guest Experiences', 'Professional Development']"
"WYNN RESORTS, LIMITED",WYNN,2/13/2025,Low-Carbon Energy Projects,"['Innovation', 'CRS Commitment', 'Energy and Sustainability', 'Leadership and Development', 'Community Support', 'Guest Experiences', 'Professional Development']"
"WYNN RESORTS, LIMITED",WYNN,2/13/2025,Innovative Community Support Programs,"['Innovation', 'CRS Commitment', 'Energy and Sustainability', 'Leadership and Development', 'Community Support', 'Guest Experiences', 'Professional Development']"
"WYNN RESORTS, LIMITED",WYNN,2/13/2025,Recognition for Innovation,"['Innovation', 'CRS Commitment', 'Energy and Sustainability', 'Leadership and Development', 'Community Support', 'Guest Experiences', 'Professional Development']"
